object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,crop_area_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
121,0.0006405646271,39.52041144,91.24036098,0.4863194272,2136.962227,3798.137923,73.33831137,0.5766810178,0,1,0,0,0,0,1,0,0,0,0,1,0,2391,28,354,214,428,1359,884,0,2257,4486.806202,0.0006252085039,21394.23622,992.6077343,4860.055631,0.5139827485,370497,43074.2,10,927,120,76,17,443766584,1,24536816,12,152186694,6,179407384,14,341986584,1,21052384,0,0,21,499826384,12,152186694,6,227770490,0,0,0,0,2,98816816
122,0.0006584161236,42.28068526,90.42458874,1.174010461,1775.663569,5310.6571,86.92749062,0.6706223854,0,1,0,0,0,0,1,0,0,0,0,1,0,2986,150,386,298,390,1453,1095,7,2703,2261.31518,0.0006480290741,19640.7353,278.2125946,1876.960382,0.5133247756,802928,16117,13,1079,121,74,40,834813898,33,1419647026,37,640173368,5,206231538,50,1651992106,0,0,0,0,80,2419403400,37,640173368,30,1496965757,0,0,0,0,11,278619475
123,0.0006562028341,42.82120024,90.01652049,1.495311186,1680.307449,6094.076362,88.0077389,0.6808429685,0,1,0,0,0,0,1,0,0,0,0,1,0,1693,30,257,150,293,632,662,0,1599,2106.753821,0.0002014857808,14788.38539,179.2173078,2155.792023,0.5110671427,744489,10430,9,944,123,79,1,9609000,2,19961478,1,11999965,0,0,2,21608965,0,0,0,0,4,41570443,0,0,1,9609000,0,0,0,0,1,8000000
124,0.0006816049127,48.87558539,89.12343602,0.8298053939,1754.683374,23418.45266,89.22032358,0.6979100217,0,0,0,0,0,0,1,0,0,0,0,1,0,942,3,147,73,86,180,344,0,880,1991.817342,0.0006788929044,4813.97981,225.6160992,1557.051428,0.548244203,285400,12228,7,951,132,81,1,767556000,0,0,0,0,0,0,1,767556000,0,0,0,0,1,767556000,0,0,1,767556000,0,0,0,0,0,0
125,0.0006997752198,51.94636499,89.11446799,0.8532905691,1764.181756,30886.56106,89.98062594,0.6891472811,0,0,0,1,0,0,0,0,0,0,0,1,0,168,0,19,4,0,0,59,0,157,2069.017068,0.0001144980406,13543.55114,270.566867,1539.717104,0.5635430244,0,0,0,919,120,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,0.0006196971301,57.0831518,90.84320098,1.611416611,1179.041689,10497.12166,79.74083339,0.5788268977,0,0,0,0,0,0,1,0,0,0,0,1,0,989,23,148,45,182,452,382,24,1141,3684.679245,0.0005122192352,22427.98579,1227.286287,5330.641653,0.5005243737,196386,15754,7,70,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,0.000662805029,59.11068816,90.85059779,0.8758773889,1428.09766,13298.12256,84.13405138,0.6039792836,0,0,0,0,0,0,1,0,0,0,0,1,0,2167,111,291,190,371,1125,836,121,2494,3477.156097,0.0005974999107,9129.60829,910.8845417,3432.278453,0.479721561,2290,5156,7,68,6,5,4,152936104,5,155208567,3,29700000,0,0,4,152936104,0,0,0,0,9,308144671,3,29700000,5,275661171,0,0,0,0,1,2783500
128,0.0005342500042,77.57078869,89.3142935,1.251655183,1219.72387,7832.829804,88.66376871,0.6873814409,0,0,0,0,0,0,1,0,0,0,0,1,0,1833,14,295,60,218,621,709,13,2132,2529.613327,0.0007426195324,7208.125241,354.5838416,1735.742099,0.5085808286,133042,22803.02,8,75,7,6,3,235022000,0,0,2,19940000,1,215082000,2,19940000,0,0,0,0,3,235022000,2,19940000,0,0,0,0,0,0,1,215082000
129,0.0006101737492,61.22231757,89.89143775,0.892913169,2031.738979,17769.23902,88.85512492,0.6881187305,0,0,0,0,0,0,1,0,0,0,0,1,0,1483,51,204,136,173,521,590,65,1769,1890.295451,9.71E-05,11205.22958,213.9762505,1760.054922,0.5092846262,23312,2971.56,2,70,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,0.0004791333817,96.23913474,88.9517966,0.4037282447,1522.612145,14233.76315,87.99816105,0.7256183843,0,0,0,0,0,0,1,0,0,0,0,1,0,2219,10,281,33,92,700,787,8,2125,3482.75604,0.0002736342267,10177.46354,1483.861277,3238.716777,0.5022238524,50747,2584.5,4,211,2,16,10,173421210,18,1011644727,9,162224116,20,1021630009,25,1063976127,0,0,0,0,29,1192065125,8,155224928,20,1029841009,0,0,0,0,0,0
131,0.0005525372077,92.25493435,89.13822501,0.2370599704,1687.229912,26534.0073,89.39424113,0.7057379686,0,0,0,0,0,0,0,0,1,0,0,1,0,2889,142,365,261,419,854,972,55,2810,2869.541048,0.0001393008561,5023.873159,318.7709846,1920.367443,0.5189563625,48196,1218.58,1,211,2,17,3,45746000,2,47560334,2,11746000,1,34000000,2,11746000,0,0,0,0,5,93306334,2,11746000,3,81560334,0,0,0,0,0,0
132,0.0006225383265,68.54024265,90.27916151,0.6342391578,1695.518726,15705.48029,88.89685615,0.6713840289,0,0,0,0,0,0,0,0,1,0,0,1,0,2091,83,292,185,313,951,780,18,2094,2119.704475,0.0008465874504,6197.980166,388.5592939,2725.062156,0.4734989292,25976,697.02,0,211,2,16,1,29602975,1,69306651,0,0,0,0,1,29602975,0,0,0,0,2,98909626,0,0,1,29602975,0,0,0,0,1,69306651
